epoch,train_loss,train_acc,test_loss,test_acc,subset_fraction,weight_decay
1,2.4656843116511276,0.2423238025860499,1.5125876728412324,0.5156162855549359,1.0,0.0001
2,1.2296086830414814,0.5922054270624658,1.0752334154285161,0.6161461238148355,1.0,0.0001
3,0.78347880870868,0.7262065197596066,0.9339927978220239,0.6921360847741216,1.0,0.0001
4,0.5446290587072884,0.8108177016936806,0.8485053292417948,0.7396820970440602,1.0,0.0001
5,0.39058204373835403,0.8647969404480058,0.7550558157397055,0.7710540992749582,1.0,0.0001
6,0.30168059940660474,0.8951739209615734,0.745796648505251,0.7954545454545454,1.0,0.0001
7,0.2390742153623999,0.9184847932981242,0.68595476039743,0.8190184049079755,1.0,0.0001
8,0.19086267569022022,0.9348024039337097,0.6856352279407788,0.8251533742331288,1.0,0.0001
9,0.15906635912391412,0.9455836823893644,0.7194036146774229,0.8397936419408812,1.0,0.0001
10,0.13970208114625274,0.9514842469495538,0.770683758570689,0.8209704406023425,1.0,0.0001
11,0.11845316067728755,0.9605900564560189,0.7950459763910457,0.8319854991634132,1.0,0.0001
12,0.10942674883248367,0.9636496084501912,0.732938708638591,0.8315672058003346,1.0,0.0001
13,0.0945343885327622,0.9682389364414496,0.722561845419912,0.8470440602342443,1.0,0.0001
14,0.09120188976935434,0.9694773265343289,0.8256814703999491,0.8403513664249861,1.0,0.0001
15,0.07589045331958846,0.9739573848115097,0.7790974738045165,0.8523424428332403,1.0,0.0001
